"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
90805,0,0,0,1,10,6,0,0,0,1,11,6
90807,2,0,0,0,0,1,2,0,0,0,0,1
90808,0,2,0,1,15,4,0,4,0,1,16,4
90809,6,0,0,0,0,0,12,0,0,0,0,0
90810,1,1,0,0,0,0,4,2,0,0,0,0
90812,0,0,1,0,0,0,0,0,1,0,0,0
90814,0,1,0,0,0,0,0,2,0,0,0,0
90826,0,0,1,3,0,0,0,0,1,3,0,0
90827,0,0,4,0,5,0,0,0,13,0,5,0
90828,0,0,25,0,16,1,0,0,28,0,17,1
90829,1,1,2,34,20,30,4,1,20,35,20,42
90830,0,9,10,0,27,2,0,13,11,0,28,3
90831,0,0,2,15,0,1,0,0,2,16,0,1
90832,0,0,3,0,2,0,0,0,3,0,2,0
90833,0,0,0,9,0,0,0,0,0,9,0,0
90834,0,5,0,0,13,0,0,34,0,0,13,0
90835,1,2,0,0,2,2,1,12,0,0,2,2
90836,0,0,1,0,20,38,0,0,1,0,20,40
90837,0,0,0,0,6,2,0,0,0,0,163,2
90838,0,0,0,0,2,0,0,0,0,0,2,0
90839,0,0,0,0,5,0,0,0,0,0,5,0
90840,0,0,0,16,0,0,0,0,0,17,0,0
90841,0,0,0,2,0,0,0,0,0,2,0,0
90843,0,0,5,6,0,0,0,0,5,9,0,0
90846,0,0,3,0,18,0,0,0,3,0,21,0
90847,1,0,0,3,31,1,16,0,0,3,35,1
90852,0,0,0,0,2,3,0,0,0,0,2,3
90855,0,0,0,5,0,0,0,0,0,8,0,0
90856,0,0,0,3,0,0,0,0,0,3,0,0
90857,0,0,0,22,0,0,0,0,0,30,0,0
90858,0,0,0,16,25,0,0,0,0,17,35,0
90859,0,1,2,2,1,0,0,2,2,2,2,0
90860,0,1,0,0,0,0,0,5,0,0,0,0
90861,0,0,3,16,0,13,0,0,3,19,0,18
90864,0,0,0,3,0,0,0,0,0,3,0,0
90865,0,0,0,6,3,0,0,0,0,8,3,0
90866,0,0,0,1,1,0,0,0,0,2,1,0
90867,0,2,0,25,0,39,0,4,0,33,0,42
90868,0,0,0,15,0,0,0,0,0,21,0,0
